"","securities.name","year.code","month.code","KV2001","KV2002","KV2003","KV2004","KV2005","KV2006","KV2007","KV2008","KV2009"
"459","SECURITIES#10",2017,9,1104.36371740584,52.0652936510699,109.031427535026,7.09470944315535,1.36336854846605,21.3480424005625,NA,1.57541849417744,372.316510442331
"460","SECURITIES#10",2017,12,1200.16417799569,54.0469324594319,108.480969050301,9.06333772924923,1.66883804001444,27.8051335603127,NA,1.769972703446,375.173522693788
"461","SECURITIES#10",2018,3,1110.29566896962,46.2480982234299,106.597361008983,2.53350702392324,0.376186490767537,8.35199474526779,NA,1.76490464183695,321.193486896241
"462","SECURITIES#10",2018,6,945.779659757819,39.3003778862207,106.423758825822,4.83383939810322,0.657190919105872,14.8493141401579,NA,-0.314028403685945,234.270789279126
"463","SECURITIES#10",2018,9,795.496619864795,34.2242540692153,106.732610656675,7.73845123721054,1.02824283089749,22.4637924166321,NA,-4.95699227709153,194.597318845381
"464","SECURITIES#10",2018,12,677.081197533616,26.5374552824754,106.043251420623,10.2889516208453,1.47321721085848,34.8792523394157,NA,4.84637779957081,166.162989569783
"465","SECURITIES#10",2019,3,659.615927494243,26.1165109401848,106.030567742532,3.5334926257571,0.422867086683033,9.5220786448892,NA,-11.5699318055257,154.56627655155
"466","SECURITIES#10",2019,6,991.189361860189,23.8116888699382,108.592326786925,10.0602100602101,1.25881168697996,18.3613936285198,NA,-12.7234321111872,176.983393849245
"467","SECURITIES#10",2019,9,815.308669489637,24.2659249421135,106.667032072402,12.3979731572872,1.4620780415535,27.0193571638633,NA,-15.8442863595922,155.171226369092
"468","SECURITIES#10",2019,12,826.269222197459,27.7806312607638,106.727957702763,14.9510393855923,2.00341917572191,38.5679597748939,NA,-18.8908786306338,147.566772571039
"469","SECURITIES#10",2020,3,905.80566079786,25.7765189790905,101.751835568462,1.87821084429788,0.236997390396178,21.7885974502576,NA,16.6645795417581,151.443973637234
"470","SECURITIES#10",2020,6,1391.28593715177,29.5335957654091,103.443454739633,4.70915745481771,0.605571278414974,28.027930165168,NA,3.80296185378947,188.227396325825
"471","SECURITIES#10",2020,9,1560.95535249981,31.2716877738557,103.867256605262,7.1787321580591,0.926016035257982,36.0833210532735,NA,-0.0379815150605062,204.789637944465
"472","SECURITIES#10",2020,12,1685.27672535473,33.0129655859086,104.265708624103,9.32133071511874,1.20009710590098,45.1432184626247,NA,-8.411413908455,220.659198747321
"473","SECURITIES#10",2021,3,1573.2323007206,35.7580094969937,105.108488043656,3.78075326318467,0.439021983643897,11.9535001322518,NA,-3.9318432600272,210.627334416415
"474","SECURITIES#10",2021,6,1531.59720674541,34.5272295054602,104.844263064184,6.76080577818886,0.800914720965683,23.2426439191172,NA,-8.95938563483953,197.494175222363
