index,KV001,KV002,KV003,KV004,KV005,KV006,KV007,KV008,KV009,KV010,KV011,KV012,KV013,KV014,KV015,KV016,KV017,KV018
17,7.381399483,11.50939655,12.97747499,0.495335491,-1.84701326,0.894125058,29.54732122,2.671964594,32.67050023,4.259730615,96.6828956,0.505022814,0.182471807,0.312863684,4.506754064,21.52820092,5.391553084,1.164575466
18,7.331137641,11.55370182,13.02487773,0.820232407,-3.768499627,2.526413589,29.87250834,-0.05411546,32.1987129,4.223614411,95.08696136,1.079152856,0.713767725,0.106464682,28.66050528,18.97426038,21.32203232,15.30921921
19,7.403061091,11.58995992,13.04730377,1.212506369,-5.585089964,4.531545824,31.05724551,1.154365694,32.39418173,4.220511117,96.36555369,1.488744005,1.076028849,0.13647752,45.93230263,21.16486741,33.41849214,42.00704462
20,6.973216026,9.064113772,10.81628334,1.009559443,-7.276591212,3.756002862,30.9989283,0.018561594,31.16865994,3.382929175,94.94345493,1.498434817,1.45327336,-0.443713917,-20.01301694,27.60734643,45.04991669,83.79284504
21,6.689795958,8.865191458,10.38032878,0.371955151,-1.506184016,2.7480557,30.76132356,4.733335419,31.52737343,3.120642444,97.41317161,0.318811412,0.348331456,0.023623695,34.66893785,18.92338969,10.71513661,26.31637552
22,6.878818895,8.881161698,10.92002585,0.657388205,-2.883211936,3.370355309,31.03256418,0.689424808,30.98049028,2.88593618,95.22646994,0.800921898,1.029073877,-0.371685672,67.55372641,15.65895867,31.93480113,109.1531503
23,6.677380136,8.499445277,10.44482785,1.018831104,-4.043145777,5.367716276,31.61250778,4.458356937,31.28709179,2.778703535,96.57394881,1.090974173,1.250955909,-0.232124805,163.6803259,39.36079073,39.54585341,156.9574922
24,6.829680083,8.613657908,10.60494516,1.351651527,-5.244089993,3.79202432,33.33748564,-1.48332684,31.31733832,2.429189868,95.3236396,1.542970983,1.350096806,0.001554721,35.2824896,33.1210468,45.00883288,192.81784
25,6.527155903,8.843114324,10.62456535,0.522546546,-1.092523836,3.102856285,32.47010281,1.230544619,29.94860119,2.204434485,93.03497317,0.366452583,0.281485981,0.241060566,28.53735109,11.06857993,9.139878731,38.23211273
26,6.618991183,8.940288103,10.71213446,0.921306183,-2.243880975,4.556063679,34.10626789,-0.954278374,29.79981539,2.049401151,94.60805802,1.208303206,0.552638769,0.368667414,89.42043689,32.08547878,18.84844591,74.94142094
